Math_Score,English_Score,Admitted
42.8,54.4,0
41.3,50.7,0
39.4,22.0,0
70.4,65.3,1
48.6,34.4,0
41.4,47.2,0
42.2,31.3,0
84.1,75.3,1
76.0,73.4,1
81.2,67.9,1
44.8,32.3,0
66.2,74.9,1
38.6,34.8,0
77.2,71.1,1
37.8,26.4,0
81.1,77.9,1
48.9,44.1,0
85.2,68.2,1
39.0,53.6,0
49.3,34.3,0
27.9,28.2,0
54.8,56.6,0
47.4,30.2,0
90.2,74.8,1
67.8,77.2,1
71.0,77.8,1
100.0,85.3,1
54.9,54.9,0
39.4,48.1,0
76.6,65.7,1
83.2,82.5,1
84.8,73.6,1
65.7,83.2,1
28.1,54.0,0
47.9,45.7,0
53.9,47.7,0
62.7,79.8,1
46.0,45.2,0
58.5,74.7,1
69.7,76.2,1
100.0,86.7,1
57.8,81.0,1
51.5,44.1,0
56.8,74.8,1
47.5,35.6,0
94.0,49.5,1
24.3,42.7,0
54.9,34.0,0
86.0,92.7,1
48.8,31.0,0
30.6,35.2,0
56.7,52.9,0
75.8,88.9,1
56.0,50.7,0
52.6,82.1,1
67.1,80.0,1
57.8,75.2,1
64.0,67.6,0
79.3,65.1,1
57.0,67.8,0
49.0,30.7,0
62.1,84.5,1
82.6,73.2,1
73.2,79.1,1
43.3,40.0,0
49.5,38.2,0
22.0,74.6,0
67.2,66.9,1
85.4,68.9,1
63.9,81.2,1
55.6,100.0,1
51.2,26.8,0
30.3,63.6,0
69.2,78.9,1
41.1,30.1,0
57.7,29.2,0
31.7,58.9,0
94.6,77.7,1
80.3,78.9,1
46.3,71.3,0
44.6,44.1,0
69.2,63.0,1
27.3,48.1,0
60.1,68.7,1
49.1,51.3,0
50.7,65.1,1
36.4,54.4,0
82.1,97.5,1
79.9,72.4,1
82.9,67.8,1
37.3,36.0,0
82.6,89.9,1
42.3,34.1,0
67.9,59.2,1
47.1,60.7,0
63.2,100.0,1
78.7,91.2,1
42.2,43.1,0
62.6,54.5,0
34.1,58.7,0
65.5,65.1,1
39.2,33.3,0
66.5,71.5,1
77.4,85.5,1
36.6,47.6,0
31.2,33.1,0
81.2,81.6,1
27.4,49.6,0
44.1,54.9,0
38.5,52.0,0
56.2,36.4,0
82.8,84.8,1
87.6,82.3,1
75.8,100.0,1
54.2,47.1,0
38.3,48.6,0
69.3,62.9,1
75.1,86.5,1
21.1,77.6,0
85.8,54.4,1
67.5,68.1,1
100.0,76.2,1
81.9,72.4,1
71.2,90.7,1
92.3,75.3,1
84.3,65.1,1
43.6,25.7,0
81.2,90.3,1
88.1,60.4,1
78.4,86.4,1
66.7,69.4,1
80.5,65.8,1
49.3,42.1,0
38.8,50.8,0
32.8,44.6,0
63.8,49.1,0
77.6,64.2,1
37.8,46.2,0
36.1,73.7,1
42.4,52.5,0
72.5,64.2,1
63.7,76.4,1
67.2,58.1,1
69.3,57.6,1
40.4,49.2,0
46.2,39.6,0
46.1,41.8,0
41.5,39.0,0
49.3,34.7,0
48.1,46.8,0
60.0,70.2,1
21.5,41.1,0
88.0,84.0,1
13.6,48.3,0
61.3,50.0,0
73.6,77.9,1
100.0,65.9,1
59.9,78.7,1
39.5,30.2,0
88.6,88.2,1
51.6,76.8,1
34.9,67.4,0
85.2,97.0,1
52.3,47.8,0
39.4,44.7,0
23.8,48.6,0
83.2,65.2,1
69.1,80.9,1
72.2,71.3,1
74.3,93.4,1
87.4,73.1,1
29.1,54.8,0
63.5,35.2,0
79.3,89.2,1
56.6,55.3,0
32.3,50.7,0
67.2,45.8,0
86.4,84.9,1
63.3,35.4,0
89.0,92.4,1
48.9,48.0,0
51.0,28.0,0
100.0,72.6,1
41.4,62.4,0
35.3,42.3,0
60.6,69.3,1
62.7,32.1,0
72.0,83.3,1
36.9,36.8,0
45.8,61.8,0
76.4,64.9,1
52.8,40.9,0
81.7,68.3,1
75.5,75.9,1
40.3,47.1,0
42.2,49.8,0
57.4,48.5,0
96.2,66.4,1
66.4,82.5,1
45.1,45.7,0
